age,annual_income,loan_amount,loan_term,credit_score,num_credit_lines,delinq_2yrs,dti_ratio,employment_years,home_ownership,loan_purpose,num_inquiries,default
48,59633,7142,12,534,9,0,0.2785488101479229,2.1953303806049824,MORTGAGE,debt_consolidation,0,0
28,138583,89928,24,570,7,0,0.16552566422688683,0.8053892411777532,RENT,debt_consolidation,4,0
48,74736,12171,36,579,7,0,0.27362831758446493,3.693583307179955,RENT,home_improvement,3,0
56,91256,50685,48,681,14,0,0.3904184588297087,2.5159681066708615,MORTGAGE,other,3,1
46,80164,17081,12,607,6,2,0.41536959145552893,2.6378327940554875,MORTGAGE,major_purchase,1,0
28,49017,17067,60,664,2,0,0.1597311318615843,0.0,RENT,debt_consolidation,2,0
48,93901,58404,60,752,10,0,0.20934849249126936,7.64963696026907,RENT,major_purchase,1,0
48,76651,24988,36,642,12,0,0.4586984419539831,8.1603258390778,MORTGAGE,debt_consolidation,0,0
57,116269,18031,36,816,11,2,0.42622221389237946,18.22203368946105,RENT,home_improvement,1,0
61,37207,2826,48,555,10,0,0.4830653993069529,9.431704988327802,RENT,debt_consolidation,4,0
56,17277,4000,36,637,13,4,0.555174564076484,4.5170549014092725,OWN,debt_consolidation,0,0
47,91780,19280,12,606,9,0,0.4306830664385898,0.996425107632894,RENT,debt_consolidation,0,0
37,60467,43227,12,724,14,0,0.28777885592436914,6.5186177010036905,RENT,major_purchase,2,0
29,41042,14805,12,470,5,0,0.36722741871228753,9.243614446962797,OWN,home_improvement,0,0
53,42442,8324,48,534,6,1,0.5989845651391073,4.483256903404774,MORTGAGE,debt_consolidation,4,0
40,227024,3067,48,641,1,0,0.764667349667808,7.30508013174286,RENT,debt_consolidation,0,0
33,33345,7137,36,774,5,0,0.41946445486135386,16.4867704702941,RENT,major_purchase,1,0
48,29378,14835,48,668,6,0,0.43033312082169595,5.0794493648041845,RENT,other,1,0
68,51594,6733,12,541,10,0,0.45885625504961247,0.0,RENT,medical,1,0
49,99537,6176,24,554,11,2,0.3535689268729044,11.367433936957173,MORTGAGE,debt_consolidation,3,0
33,192344,12824,12,783,2,1,0.5245780853513936,8.571607229075267,MORTGAGE,debt_consolidation,5,0
66,72723,42562,24,600,7,0,0.5012067939099276,0.0,MORTGAGE,debt_consolidation,1,0
55,22873,23104,36,574,14,0,0.40315646707232244,9.138218386381473,RENT,debt_consolidation,1,0
26,159934,16792,60,768,4,0,0.30229701409915766,2.0106822543112663,RENT,home_improvement,1,0
38,48451,15534,48,730,5,0,0.12189554189342947,9.206612011822031,RENT,debt_consolidation,2,0
25,29654,20763,48,751,3,0,0.4598620321421375,16.536317546021458,RENT,other,0,0
67,25651,12233,12,573,5,0,0.38192874728391557,6.115153328283894,RENT,major_purchase,0,0
45,80967,9615,12,527,12,0,0.23933484040188482,12.416355995182432,RENT,debt_consolidation,4,0
22,56573,24114,24,660,4,1,0.1805119602508059,0.8575634107381145,MORTGAGE,home_improvement,0,0
30,60297,11155,48,676,12,0,0.4492149274074877,0.0,MORTGAGE,home_improvement,1,0
50,106075,5162,36,679,14,0,0.10981455175745525,17.086852361978355,OWN,home_improvement,2,0
65,30294,42388,12,768,10,0,0.39494617811657073,8.539075067781685,RENT,medical,3,0
25,111267,2993,48,511,6,3,0.47653256137533406,10.183349705806688,MORTGAGE,debt_consolidation,0,0
53,35900,45010,60,718,2,1,0.4324839329624935,12.760111514226885,RENT,major_purchase,0,0
21,179585,20033,24,562,3,0,0.29138903384623394,4.360925951010212,RENT,debt_consolidation,1,0
38,70209,6152,12,718,12,0,0.16259382732876285,11.125581798813336,RENT,home_improvement,1,0
52,28221,13621,12,612,10,0,0.4380528859692785,10.367720811544086,RENT,home_improvement,1,0
67,14541,9479,36,584,1,0,0.530078463793013,0.5259758960881786,RENT,debt_consolidation,0,0
69,79646,25493,12,601,7,0,0.26408999678854383,14.564926557063433,RENT,debt_consolidation,0,0
31,39163,25093,48,534,9,3,0.4260362300439289,13.534302579897666,RENT,debt_consolidation,0,0
41,44652,19323,48,653,2,0,0.5872272678097713,0.5814138048113584,MORTGAGE,debt_consolidation,0,0
46,77630,24272,48,588,7,0,0.4008270644662415,8.001432207308973,RENT,home_improvement,0,0
45,89881,12187,60,712,3,1,0.2904679782683318,5.8446013154352805,RENT,other,1,0
42,102152,54684,60,701,5,1,0.5061280310094737,14.091537349629688,OWN,debt_consolidation,0,0
47,24223,35556,12,785,6,0,0.23936585387632814,0.0,RENT,debt_consolidation,1,0
69,115328,9121,60,679,8,1,0.15527119774204654,25.012075121052646,OWN,debt_consolidation,3,0
33,34633,25557,60,691,4,0,0.4718481786718969,6.127579153140628,RENT,debt_consolidation,0,0
53,12660,23833,36,762,2,0,0.28907566047746547,10.692225830905954,OWN,debt_consolidation,1,0
54,24171,10852,60,599,3,2,0.3025218478994473,13.937491660014015,OWN,home_improvement,1,0
61,55871,10192,24,530,8,3,0.2559589046673393,6.020003284149278,MORTGAGE,medical,2,0
55,27247,35298,24,666,7,1,0.2790773906668874,6.4252905720236075,RENT,medical,1,0
21,46498,13203,24,536,6,0,0.5604550141290299,4.485845530906861,OWN,debt_consolidation,1,0
41,60051,16450,12,846,5,1,0.5993748148675501,2.5726718693444104,MORTGAGE,debt_consolidation,1,0
68,43965,40981,48,766,11,0,0.6192467954216914,8.359295738963604,MORTGAGE,home_improvement,2,0
26,36438,101384,36,823,5,0,0.5135180931766269,6.323666599125227,MORTGAGE,debt_consolidation,2,0
48,23146,8766,12,654,1,1,0.41994068896598563,4.453129008372521,MORTGAGE,major_purchase,1,0
37,49670,11195,48,694,14,0,0.135157161210033,4.745180259831491,OWN,home_improvement,1,0
25,14200,14174,36,613,6,3,0.3218712945649475,9.881167269465712,RENT,debt_consolidation,2,0
51,32480,14434,36,720,13,0,0.6735131732935531,3.0121823532472787,MORTGAGE,debt_consolidation,1,0
25,28094,18053,36,552,9,0,0.28465676318710187,5.765176158038852,MORTGAGE,other,0,0
58,42462,9025,24,446,8,1,0.5771216712158412,11.493336958945534,OWN,home_improvement,3,0
23,43131,4851,24,586,12,1,0.3582553728545817,8.236127350346498,MORTGAGE,major_purchase,1,0
43,87201,54342,24,533,10,0,0.05,1.7522036682069535,OWN,debt_consolidation,1,0
57,126764,21800,36,768,1,0,0.4460728345503444,6.88064465626515,OWN,major_purchase,1,0
57,25067,9558,36,795,11,1,0.5399382044267467,9.185108105714846,RENT,debt_consolidation,3,0
30,162056,18952,24,537,13,0,0.34265060470391834,11.946360956181213,RENT,major_purchase,0,0
30,30712,57893,36,753,6,0,0.534957650672812,3.223106666275497,MORTGAGE,major_purchase,0,0
39,54367,7112,24,726,3,0,0.09982587283743694,4.207351386494327,MORTGAGE,debt_consolidation,2,0
37,66603,15818,24,524,6,0,0.14216536041509456,3.5242000563990175,OWN,debt_consolidation,0,0
41,212511,4394,24,618,9,3,0.3807296462128531,3.7723990030410572,RENT,home_improvement,1,0
34,35405,12152,48,603,6,0,0.42156720917262974,9.025023578485575,RENT,home_improvement,1,0
29,16679,21878,36,709,8,4,0.5534868302888418,9.972445649418244,RENT,home_improvement,1,0
66,119877,5476,12,551,14,0,0.44583867001228406,12.254517464415418,RENT,major_purchase,2,0
21,29731,11501,24,642,6,3,0.17095563659524354,6.544125454621156,RENT,major_purchase,0,0
65,39460,25334,12,595,6,0,0.38195684331115787,0.0,RENT,home_improvement,3,0
33,25068,21404,48,687,7,0,0.44010911679322234,10.347350822287316,RENT,home_improvement,1,0
24,39528,5291,36,632,11,0,0.06886490019543062,7.795718392037919,MORTGAGE,debt_consolidation,0,0
21,29606,18016,24,607,13,0,0.3434549795392977,7.299847396580015,MORTGAGE,debt_consolidation,0,0
69,73560,20888,24,632,10,0,0.2996626184092662,0.5829825584438888,RENT,home_improvement,2,0
60,51455,14565,24,812,11,0,0.2517960389381382,6.020820681973295,OWN,major_purchase,1,0
52,32577,31935,12,616,4,0,0.42481655776290084,1.0317260693714072,MORTGAGE,medical,1,0
54,89100,8336,48,566,13,0,0.1775477710163114,9.409824942228797,MORTGAGE,major_purchase,4,0
48,57125,18582,36,696,13,0,0.4125319268005474,4.8505298564808,RENT,home_improvement,0,0
51,16193,5259,48,638,8,0,0.43392366938133414,4.402328018177209,RENT,debt_consolidation,0,0
28,85120,3712,24,536,4,1,0.512564496539146,0.0,RENT,debt_consolidation,2,0
59,54771,24955,48,828,7,0,0.18148711058110928,12.135479348420212,RENT,debt_consolidation,1,0
46,112920,13581,12,621,1,2,0.1242148672468179,5.707176843853222,OWN,home_improvement,2,0
54,52804,9221,60,619,12,0,0.3918355411008518,7.434903851688787,RENT,debt_consolidation,1,0
23,30484,5698,60,662,9,4,0.30705931491984473,3.3225495465372266,MORTGAGE,debt_consolidation,3,0
32,43365,25891,36,788,10,0,0.7853975393740581,0.0,RENT,home_improvement,3,0
21,79407,3998,36,515,9,3,0.41877477143643976,4.341872059113731,MORTGAGE,debt_consolidation,0,0
64,30870,29563,48,672,7,0,0.3587242567556272,5.142293311136433,RENT,home_improvement,0,0
25,37639,19164,36,816,8,1,0.32407580664853763,8.463800104574213,OWN,home_improvement,1,0
50,42915,4162,12,660,2,1,0.16729072318408264,5.22483794555434,OWN,major_purchase,0,0
50,24596,14776,24,551,10,0,0.43458223294318954,3.408255701513604,MORTGAGE,debt_consolidation,1,0
37,31138,111633,24,600,14,0,0.3381282460593803,0.0,RENT,debt_consolidation,1,0
68,54367,34597,48,666,14,1,0.33825294748558477,7.242267477113741,RENT,major_purchase,2,0
67,100859,6888,24,756,12,0,0.3641664988247983,3.0171990311456636,RENT,debt_consolidation,1,0
43,59295,23703,48,622,10,0,0.3831818794875868,13.604032668828491,OWN,medical,2,0
35,47690,4303,36,716,7,1,0.08911165311237174,7.75073330669051,RENT,debt_consolidation,2,0
57,29769,4460,36,535,1,0,0.4755534509556397,9.810514200164954,OWN,home_improvement,0,0
41,94570,12659,12,534,3,1,0.22303334377761158,5.756056668554143,RENT,debt_consolidation,1,0
34,63583,20771,24,611,6,0,0.3292951703797059,8.006401448839558,RENT,debt_consolidation,0,0
22,32079,25567,12,765,5,0,0.5428857380997933,2.5464234211487335,MORTGAGE,medical,0,0
31,84051,25852,60,655,5,0,0.616917288840517,1.108905871651971,RENT,home_improvement,2,0
59,68579,19846,12,673,9,0,0.09492583420604123,7.075655386742783,RENT,major_purchase,2,0
58,30088,3673,48,672,6,3,0.3545367241511973,9.85195827600538,OWN,debt_consolidation,3,0
54,46127,12724,48,738,3,0,0.3909369777749054,0.0,MORTGAGE,other,0,1
58,36473,28996,12,601,2,0,0.12387049607128303,4.504482545979796,RENT,home_improvement,0,0
54,238023,19046,36,705,14,0,0.4703887046627247,16.21061053944196,RENT,debt_consolidation,0,0
38,67443,15454,60,583,9,2,0.3674394016121259,9.396137758349774,OWN,debt_consolidation,1,0
50,54833,17385,12,808,10,0,0.3791239393542495,14.68823016845249,MORTGAGE,debt_consolidation,0,0
35,65094,17154,36,585,14,0,0.21236706224870974,3.8297752410570762,RENT,debt_consolidation,2,0
47,112139,2774,12,579,4,0,0.4119329965072022,4.7104711750278,MORTGAGE,other,2,0
54,46628,33654,24,693,11,0,0.4757335934584906,11.833666601722538,MORTGAGE,debt_consolidation,2,0
58,34408,12229,48,656,5,0,0.36909468255889005,10.117601776891629,OWN,debt_consolidation,0,0
53,81354,23530,24,676,9,0,0.27290961485554194,6.528077119701575,RENT,debt_consolidation,0,0
44,44136,2112,24,668,5,1,0.2845896022930453,0.687420953657476,MORTGAGE,debt_consolidation,0,0
35,25798,50452,60,562,7,2,0.3830593560688948,12.784259811134552,RENT,debt_consolidation,2,0
50,22952,5296,36,779,2,1,0.3573196067570944,19.55114073763856,RENT,debt_consolidation,1,0
62,122709,102035,48,721,2,0,0.48572331786790923,0.0,RENT,debt_consolidation,1,0
37,53049,72794,24,758,4,0,0.2779612568713751,14.018095748747193,RENT,home_improvement,0,0
25,34415,4628,48,607,8,0,0.16724290958887622,4.658494286713143,RENT,debt_consolidation,1,0
49,42591,25684,36,683,2,1,0.40390791159807543,5.332656744809252,MORTGAGE,other,0,0
24,79575,5920,12,665,10,0,0.27837052205019447,8.34819743769167,MORTGAGE,home_improvement,1,0
30,41107,8010,24,740,7,2,0.46755229235545503,0.9723836043000134,RENT,home_improvement,2,0
37,20544,8156,36,742,13,0,0.3511307945686401,6.814307775278074,RENT,other,2,1
30,59605,19117,48,665,13,1,0.44822198065472335,0.0,MORTGAGE,home_improvement,0,0
37,101215,17321,36,528,1,1,0.19785244299038182,9.380412448891024,OWN,home_improvement,1,0
40,97234,5108,12,792,9,0,0.37150793948447314,18.168610189815844,MORTGAGE,debt_consolidation,1,0
44,35045,18995,36,694,10,1,0.24511051889241253,3.8023425541816884,OWN,major_purchase,2,0
25,104977,11347,48,601,6,2,0.16694395203856696,6.1562833085414415,MORTGAGE,debt_consolidation,1,0
54,55701,3113,24,682,11,2,0.2208338182893477,6.402609119636258,RENT,home_improvement,1,0
26,103227,9440,24,529,1,1,0.2683284362336211,11.932342969955013,RENT,debt_consolidation,1,0
22,69162,50429,60,734,10,0,0.5367041790535778,9.027861845259006,RENT,home_improvement,1,0
33,19673,9698,48,532,6,2,0.26435894007610106,11.601730051759642,OWN,medical,2,0
63,139810,3076,60,632,14,1,0.15926896245826652,4.468823323988136,MORTGAGE,debt_consolidation,7,0
63,50567,25631,60,669,5,0,0.3697216133745003,9.167845024098982,MORTGAGE,debt_consolidation,1,0
68,69291,6361,12,733,14,0,0.35437709910165116,0.0,MORTGAGE,home_improvement,0,0
31,21885,15859,48,658,12,0,0.27619204819847026,10.337312859945147,RENT,other,0,0
67,66382,11642,24,700,5,0,0.325816480123081,0.9110364560236857,MORTGAGE,major_purchase,3,1
43,95011,54684,48,647,5,1,0.4964340628994856,5.362030592500372,RENT,debt_consolidation,1,0
36,156559,11648,12,647,4,0,0.45060586480987647,10.726255543221024,MORTGAGE,other,1,0
51,113577,5347,48,656,7,0,0.43763453103105965,0.0,RENT,debt_consolidation,2,0
31,68359,9181,48,634,13,0,0.17244818232196543,12.447163991110127,RENT,other,1,0
36,19406,4998,60,515,9,0,0.7829822092572984,6.37847594355638,MORTGAGE,debt_consolidation,0,0
28,53069,11300,48,588,13,0,0.5076878315411333,14.265577431436192,MORTGAGE,other,2,0
24,34354,55040,60,669,4,0,0.42755428447863075,2.4857792048210676,MORTGAGE,debt_consolidation,1,0
60,56443,36271,60,630,2,0,0.17535323384041854,0.0,RENT,major_purchase,2,0
24,23628,68387,36,637,2,1,0.49215951691011606,6.855266423309809,MORTGAGE,major_purchase,0,0
45,43213,19602,12,624,2,0,0.27483072345510073,9.935380339236211,MORTGAGE,major_purchase,2,0
23,35943,14980,60,580,7,0,0.3208593793046052,10.354684694051107,MORTGAGE,major_purchase,0,0
52,35281,6011,48,610,4,0,0.09788310859110755,1.32255932036382,OWN,home_improvement,1,0
23,35491,16576,60,625,4,0,0.1637775371089236,0.0,MORTGAGE,debt_consolidation,1,0
47,45183,12036,60,650,1,0,0.4157819748240702,5.438380130492176,RENT,debt_consolidation,0,0
49,58204,24906,60,681,4,0,0.5009352012905735,9.582219952377955,RENT,home_improvement,2,0
52,10947,5443,24,635,6,0,0.45273566296925527,9.328933910531603,OWN,home_improvement,0,0
39,11779,13934,24,567,2,0,0.44762284951144227,14.860631682360724,MORTGAGE,debt_consolidation,2,0
41,40006,3794,24,538,4,0,0.34028503145604394,5.132723992912915,RENT,debt_consolidation,2,0
25,43535,17502,24,850,11,1,0.28899394769506814,0.0,RENT,home_improvement,4,0
38,54910,22939,36,559,7,0,0.393334271534809,12.983332191421177,MORTGAGE,major_purchase,2,0
48,31678,3651,60,608,13,2,0.47321124846504103,7.975976570553771,RENT,medical,2,0
62,49299,4574,36,691,9,1,0.35072933824003866,8.410939552504555,RENT,debt_consolidation,2,0
42,52887,4737,48,678,2,1,0.5315378029870107,10.835451960532918,MORTGAGE,other,0,0
41,31547,11590,12,691,8,0,0.31773961042759885,13.318217951843307,RENT,other,1,0
26,90045,4367,36,614,14,1,0.2029581597055923,6.884900079248988,RENT,debt_consolidation,1,0
21,54512,40247,24,669,6,0,0.3484456636938499,12.882758166640347,RENT,home_improvement,0,0
25,68062,18937,24,654,8,0,0.36589584173893525,9.760681320708924,OWN,home_improvement,2,0
61,51088,21573,48,625,2,0,0.33769548990853854,3.7220880434600048,RENT,home_improvement,1,0
32,173200,3747,60,669,14,3,0.5420983341323391,5.833807639157444,MORTGAGE,home_improvement,3,0
46,70111,37591,12,734,11,0,0.4707952971086058,10.083720116992529,MORTGAGE,home_improvement,2,0
66,36578,22464,36,648,1,2,0.13535885170674353,3.455876178780523,RENT,debt_consolidation,2,0
54,80224,7739,60,648,7,0,0.5801550521297428,11.432295510682263,RENT,debt_consolidation,1,0
69,18350,3891,60,735,13,2,0.05,7.790917504236034,OWN,debt_consolidation,2,0
34,52667,12570,36,726,9,2,0.6726536559278746,8.90809119549909,RENT,major_purchase,1,0
46,59367,9199,36,776,9,2,0.30690417296646855,14.202526617750761,MORTGAGE,debt_consolidation,2,0
65,53029,9509,36,509,2,0,0.32156483950227494,8.782834387880989,RENT,medical,2,1
47,40124,7598,36,722,4,2,0.340997564153954,7.357059269576565,MORTGAGE,debt_consolidation,0,0
29,26705,23793,24,698,13,3,0.407780814926027,6.587057684459388,MORTGAGE,debt_consolidation,1,0
46,30527,1668,60,579,1,0,0.3499605198099735,6.32671520109629,MORTGAGE,medical,2,0
67,52116,41937,60,670,11,0,0.3299907216744099,8.561496821018036,RENT,debt_consolidation,2,0
42,25131,29687,24,734,7,1,0.5463377464034278,13.816614920582074,OWN,debt_consolidation,0,0
67,141789,15812,60,583,2,0,0.43483941196262743,3.941118698329155,RENT,other,2,0
50,10051,11905,36,685,4,1,0.20617942184438579,3.5627143066451836,MORTGAGE,home_improvement,1,0
63,40373,31775,12,719,12,0,0.4611010871503587,13.425199475990146,OWN,debt_consolidation,0,0
68,52377,12915,60,564,2,0,0.42861605047750084,4.169265300707231,RENT,debt_consolidation,1,0
37,66466,10692,12,638,1,0,0.2682089411628171,8.08047433176352,MORTGAGE,medical,4,0
46,28295,33222,12,674,7,0,0.46882076395432415,4.041012675920672,RENT,home_improvement,1,0
56,96816,71304,24,586,6,0,0.326364109816544,0.0,RENT,debt_consolidation,1,0
21,21241,6143,48,579,2,2,0.3167489791812349,7.991125966459808,OWN,medical,1,1
28,34902,18766,60,639,14,0,0.3126630323850598,12.575839470130255,RENT,debt_consolidation,1,0
69,71143,5602,24,714,4,1,0.05,6.689725741036376,MORTGAGE,other,2,0
55,91501,19956,24,701,12,1,0.27099510005980976,0.0,RENT,debt_consolidation,1,0
35,21112,7168,12,581,11,0,0.4569759863188402,7.545352915252077,OWN,home_improvement,3,0
67,239670,35215,60,702,3,0,0.34663831356443553,3.2202430567730396,MORTGAGE,debt_consolidation,0,0
42,28609,12331,24,583,12,0,0.15722203552163755,0.0,RENT,debt_consolidation,0,0
34,22307,13865,36,521,3,0,0.4946946882788056,6.595581391382298,RENT,debt_consolidation,1,0
46,66279,49261,24,620,3,0,0.30520997606849065,9.588420969440163,RENT,debt_consolidation,1,0
48,39776,7432,36,739,11,0,0.16676367640077153,12.888527390659581,MORTGAGE,debt_consolidation,1,0
43,36401,23106,48,702,4,3,0.6809018692506522,15.784273699810704,MORTGAGE,debt_consolidation,3,0
34,70079,8048,36,649,1,0,0.19202411082683662,10.254678386932548,RENT,other,4,0
44,19606,34788,36,616,1,0,0.4819237266928565,11.66783704302797,RENT,debt_consolidation,3,0
22,17654,55793,12,618,7,3,0.2346028848718093,0.5771727496096677,MORTGAGE,home_improvement,1,1
65,34253,10825,24,658,5,2,0.37037402518607326,15.109129007731271,OWN,home_improvement,1,0
46,93595,2309,48,564,3,2,0.21467285549477363,13.336800907857754,OWN,major_purchase,1,0
34,35156,7703,24,622,9,1,0.16410437280895118,5.164422575167384,OWN,major_purchase,3,0
27,127962,93536,36,632,5,0,0.42833038170071136,10.408300626439216,MORTGAGE,major_purchase,0,0
23,100771,8319,36,541,10,2,0.41079358177016007,9.90534091724305,MORTGAGE,other,4,0
67,58091,55095,24,582,3,3,0.5216974166328596,14.351067552751969,MORTGAGE,major_purchase,0,0
43,60104,8225,48,682,9,0,0.34484271045562054,6.244461139200579,MORTGAGE,medical,1,0
66,58058,8064,48,650,1,0,0.6830527691189737,3.268836811499942,MORTGAGE,home_improvement,2,0
63,53950,24918,12,625,14,0,0.39025200011555533,4.550008151693281,RENT,major_purchase,0,0
67,39350,22639,36,577,9,0,0.4350162021855818,11.483979916819337,RENT,home_improvement,2,0
65,42187,26416,36,776,14,0,0.14623561323391573,0.0,MORTGAGE,debt_consolidation,2,0
38,25797,13412,12,582,5,0,0.2578873527316204,0.0,RENT,debt_consolidation,1,0
58,13016,30561,24,670,6,0,0.4279519550773966,11.471245034839892,MORTGAGE,debt_consolidation,0,0
55,95076,28830,36,610,2,0,0.3373658356379625,8.374027320776497,MORTGAGE,debt_consolidation,1,0
35,53871,33497,24,652,8,0,0.3781524702551954,7.092316681515888,RENT,home_improvement,2,1
45,49203,8112,48,686,3,1,0.22752593664287096,0.4722668600577187,RENT,debt_consolidation,1,0
57,62259,30543,60,540,1,0,0.36829204602074317,0.0,RENT,home_improvement,0,0
48,29820,8803,12,649,7,0,0.36778188373876036,3.827354582509071,RENT,other,2,0
30,26886,11781,36,745,12,0,0.17293474701721415,8.808475496848407,MORTGAGE,debt_consolidation,1,0
59,41348,11590,12,790,3,0,0.4463824767020886,4.071221436163974,RENT,debt_consolidation,1,0
37,111397,6012,48,639,4,0,0.09499025796230465,11.500501001210111,MORTGAGE,debt_consolidation,1,0
59,24312,3332,48,653,5,0,0.3776357120896525,2.2297032898985405,RENT,medical,0,0
42,10135,35560,48,826,1,1,0.614838904073825,4.40327463420208,MORTGAGE,other,1,0
46,35852,7617,48,740,11,0,0.4520825806728623,10.516005273421847,RENT,medical,2,0
64,97306,10766,60,600,11,0,0.4511448869055656,5.115424917577169,OWN,debt_consolidation,0,0
45,17334,7445,24,600,9,0,0.21538599875769726,5.363250198387019,RENT,debt_consolidation,1,0
37,24144,10879,24,726,7,0,0.6153593079729291,3.7825577317559365,RENT,other,2,0
33,57418,8913,60,569,2,2,0.5565077141903433,2.8552962959857595,MORTGAGE,debt_consolidation,2,0
40,229106,37170,24,737,13,0,0.2234614965656649,8.77088676948105,MORTGAGE,debt_consolidation,1,0
45,21700,8329,48,676,1,1,0.27878551372776844,9.418531473223126,RENT,debt_consolidation,1,0
24,21201,52661,24,691,14,0,0.5381984067390031,8.135742187756414,RENT,other,0,0
30,60067,33236,12,629,11,1,0.6194221067475136,3.919081972232794,MORTGAGE,debt_consolidation,1,0
23,100992,9140,24,599,2,2,0.16029709473645676,5.992540500433137,MORTGAGE,other,1,0
61,33709,17254,12,766,3,1,0.1994433845413135,14.979673917105881,RENT,debt_consolidation,2,0
65,18530,20241,36,630,12,2,0.32843198653667455,0.0,RENT,major_purchase,0,0
38,63592,26194,12,617,3,0,0.05,16.429456402143195,RENT,debt_consolidation,1,0
67,70891,28349,12,643,8,2,0.35285677403141347,7.498599230587734,RENT,debt_consolidation,1,0
56,142513,15511,48,665,5,0,0.5278615271044976,6.09936805011748,RENT,home_improvement,1,0
67,72705,6225,48,567,9,2,0.1342044475646376,11.766891694008386,RENT,debt_consolidation,1,0
42,80566,22308,48,604,3,0,0.3690660447462631,0.0,RENT,major_purchase,0,0
54,41886,11056,12,600,6,1,0.262734394250703,13.901597872898755,OWN,other,0,0
67,212118,1434,60,717,4,2,0.5959918923130876,16.288629144741904,RENT,debt_consolidation,2,0
28,38604,18255,48,579,8,0,0.2645312206800423,12.439864337295496,OWN,debt_consolidation,1,0
60,33956,7425,48,509,12,1,0.5778489631622874,0.0,RENT,home_improvement,1,0
69,145176,9258,12,492,1,1,0.2603817393783159,10.82083898900241,RENT,medical,1,0
64,20240,13424,36,532,4,0,0.4656763708001195,15.229992790093418,RENT,major_purchase,2,0
39,16180,3854,36,758,7,0,0.3877918427544048,14.713743938678777,RENT,home_improvement,2,0
62,52666,14931,24,651,9,0,0.32925910002285474,0.0,MORTGAGE,major_purchase,0,0
61,48969,10369,36,690,13,0,0.23142071464190367,12.08178415801503,RENT,debt_consolidation,0,0
57,42756,6622,48,692,1,0,0.39846431319768394,15.977852013895738,MORTGAGE,debt_consolidation,0,0
26,88996,13863,60,654,8,0,0.2839197106272632,7.147328593230096,OWN,home_improvement,3,0
46,28426,3455,24,644,2,0,0.2465350662787793,0.0,OWN,medical,1,0
54,50944,14192,60,733,4,0,0.570908411206358,11.14326296362467,OWN,debt_consolidation,0,0
65,39495,19467,60,661,4,0,0.432129534123984,12.26928984325875,RENT,home_improvement,2,0
26,28717,17055,48,761,14,1,0.4465458427860804,6.303959178370487,RENT,debt_consolidation,1,0
57,47235,25112,12,699,8,0,0.2912602222081606,1.046382720680878,RENT,home_improvement,1,0
53,81761,33937,12,600,11,1,0.3221032479375043,11.909360420180818,RENT,medical,1,0
42,174964,12517,12,610,2,0,0.3127134998973332,3.1559556718912094,RENT,home_improvement,1,0
41,69400,32091,36,591,7,0,0.4005858368751466,8.986733632694353,MORTGAGE,debt_consolidation,2,0
26,10867,12480,12,747,3,0,0.44627051777637583,14.79083177506473,RENT,major_purchase,2,0
26,47911,7634,48,617,9,2,0.3454622944532642,0.0,MORTGAGE,home_improvement,1,0
68,50507,9757,36,586,5,1,0.23110325087290384,11.538819989846267,RENT,major_purchase,1,0
24,85967,16540,12,675,14,2,0.4640855685539823,5.967089848400997,RENT,other,2,0
50,54769,31829,60,642,12,0,0.3550105802312504,6.0967335800771245,MORTGAGE,debt_consolidation,2,0
31,103969,13375,48,673,8,1,0.13387454318435285,9.571582172664133,RENT,home_improvement,2,0
50,62006,7793,48,801,5,0,0.05,3.1430798429292137,MORTGAGE,home_improvement,0,0
51,124901,42421,24,723,1,1,0.394684576319071,1.124904315356785,RENT,debt_consolidation,1,0
44,37675,4239,48,652,9,0,0.2255789301683444,0.0,RENT,medical,1,0
29,53455,7834,60,537,10,0,0.4146593194094679,13.158813547096074,RENT,major_purchase,1,0
23,80497,27288,48,610,11,0,0.23365725367040985,5.141639074455181,RENT,major_purchase,0,0
51,34776,54894,24,706,12,1,0.3699778658742511,9.84970206178683,OWN,medical,0,1
60,30515,19624,48,556,7,0,0.29323977080568625,4.574839625591725,RENT,debt_consolidation,3,0
57,33603,16316,48,821,4,0,0.6127881215409957,1.1911974831252206,RENT,major_purchase,0,0
56,31271,10586,24,651,7,0,0.4925473486727966,10.261563049695699,RENT,major_purchase,1,0
44,67073,20711,48,653,5,3,0.5520945350281745,8.63981286862411,RENT,medical,1,0
51,16303,14816,36,596,10,0,0.35360716536785985,5.81550423006287,MORTGAGE,home_improvement,0,0
26,19272,7305,48,689,14,2,0.47335414086723215,8.509480317207341,RENT,home_improvement,0,0
22,149888,10433,12,557,9,3,0.3637475116401712,2.1975772187799834,MORTGAGE,debt_consolidation,1,0
40,31727,6674,12,823,2,3,0.5704387051150589,12.302998872776557,RENT,medical,3,0
48,55271,13506,36,755,4,2,0.33911569021155896,13.461973192672374,RENT,home_improvement,0,0
31,20060,15206,48,728,6,2,0.14037659894588092,10.796522856684604,OWN,home_improvement,1,0
24,51868,49390,60,538,11,0,0.050206771211909196,5.14007120453165,MORTGAGE,debt_consolidation,2,0
35,31843,8284,48,666,5,0,0.6002466679346772,7.296733973417046,MORTGAGE,home_improvement,2,0
26,19190,11560,12,746,1,0,0.42177567112262887,14.844182240673815,OWN,debt_consolidation,1,0
69,109332,36583,24,697,9,0,0.43163852750626125,13.405831088055887,RENT,other,1,0
50,99661,56617,36,569,9,0,0.5734471763437372,16.969345452543628,RENT,medical,3,0
